|---------------------------------------------------------------------|
| This output is provided without any warranty on an as-is basis by   |
| Stefan Th. Gries <http://www.linguistics.ucsb.edu/faculty/stgries/> |
| Please cite the program as mentioned in <readme.txt>. Thanks a lot! |
|---------------------------------------------------------------------|

 Thu Jan 07 00:11:30 2021 

word.freq: frequency of the word in the corpus
obs.freq: observed frequency of the word with/in  missing
exp.freq: expected frequency of the word with/in missing
faith: percentage of how many instances of the word occur with/in missing
relation: relation of the word to missing
delta.p.constr.to.word: delta p: how much does the word/construction help guess the word?
delta.p.constr.to.word: delta p: how much does the construction help guess the word/construction?
coll.strength: index of collocational/collostructional strength: log-likelihood, the higher, the stronger

words	word.freq	obs.freq	exp.freq	relation	faith	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
這些	4238	1	0.21	attraction	0	0	0	1.57
事	4342	1	0.21	attraction	0	0	0	1.53
著	4586	1	0.22	attraction	0	0	0	1.45
著	4586	1	0.22	attraction	0	0	0	1.45
著	4586	1	0.22	attraction	0	0	0	1.45
感覺	4656	1	0.23	attraction	0	0	0	1.42
感覺	4656	1	0.23	attraction	0	0	0	1.42
蔡	4728	1	0.23	attraction	0	0	0	1.4
民進黨	5138	1	0.25	attraction	0	0	0	1.27
結果	5177	1	0.25	attraction	0	0	0	1.26
男友	5200	1	0.25	attraction	0	0	0	1.25
時間	5350	1	0.26	attraction	0	0	0	1.21
時間	5350	1	0.26	attraction	0	0	0	1.21
時間	5350	1	0.26	attraction	0	0	0	1.21
時候	5951	1	0.29	attraction	0	0	0	1.06
時候	5951	1	0.29	attraction	0	0	0	1.06
時候	5951	1	0.29	attraction	0	0	0	1.06
時候	5951	1	0.29	attraction	0	0	0	1.06
時候	5951	1	0.29	attraction	0	0	0	1.06
我	95776	7	4.67	attraction	0	0.01	0	1.03
他們	6386	1	0.31	attraction	0	0	0	0.96
這個	7012	1	0.34	attraction	0	0	0	0.83
那	7157	1	0.35	attraction	0	0	0	0.81
那	7157	1	0.35	attraction	0	0	0	0.81
那	7157	1	0.35	attraction	0	0	0	0.81
市長	7643	1	0.37	attraction	0	0	0	0.72
市長	7643	1	0.37	attraction	0	0	0	0.72
韓國	8197	1	0.4	attraction	0	0	0	0.64
韓國	8197	1	0.4	attraction	0	0	0	0.64
朋友	8894	1	0.43	attraction	0	0	0	0.54
大家	10195	1	0.5	attraction	0	0	0	0.39
這樣	11313	1	0.55	attraction	0	0	0	0.29
她	30659	2	1.49	attraction	0	0	0	0.16
我們	14072	1	0.69	attraction	0	0	0	0.13
我們	14072	1	0.69	attraction	0	0	0	0.13
我們	14072	1	0.69	attraction	0	0	0	0.13
我們	14072	1	0.69	attraction	0	0	0	0.13
我們	14072	1	0.69	attraction	0	0	0	0.13
我們	14072	1	0.69	attraction	0	0	0	0.13
什麼	14154	1	0.69	attraction	0	0	0	0.12
什麼	14154	1	0.69	attraction	0	0	0	0.12
自己	17629	1	0.86	attraction	0	0	0	0.02
自己	17629	1	0.86	attraction	0	0	0	0.02
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	1	4.67	repulsion	0	-0.01	0	4.31
我	95776	2	4.67	repulsion	0	-0.01	0	1.97
他	38112	1	1.86	repulsion	0	0	0	0.48
他	38112	1	1.86	repulsion	0	0	0	0.48
她	30659	1	1.49	repulsion	0	0	0	0.19
她	30659	1	1.49	repulsion	0	0	0	0.19
她	30659	1	1.49	repulsion	0	0	0	0.19
她	30659	1	1.49	repulsion	0	0	0	0.19
人	23295	1	1.14	repulsion	0	0	0	0.02
人	23295	1	1.14	repulsion	0	0	0	0.02
人	23295	1	1.14	repulsion	0	0	0	0.02
人	23295	1	1.14	repulsion	0	0	0	0.02
人	23295	1	1.14	repulsion	0	0	0	0.02
你	22036	1	1.07	repulsion	0	0	0	0.01
你	22036	1	1.07	repulsion	0	0	0	0.01
你	22036	1	1.07	repulsion	0	0	0	0.01
你	22036	1	1.07	repulsion	0	0	0	0.01
你	22036	1	1.07	repulsion	0	0	0	0.01
你	22036	1	1.07	repulsion	0	0	0	0.01
你	22036	1	1.07	repulsion	0	0	0	0.01

In order to determine the degree of repulsion of verbs that are not attested with/inmissing,
the following table gives the collocational/collostructional strength for all verb frequencies
in orders of magnitude the corpus size allows for.


absents.words	absents.obs.freqs	absents.exp.freqs	relation	absents.delta.p.constr.to.word	absents.delta.p.word.to.constr	absents.collstrengths
a	10	0	repulsion	0	0	0
b	100	0	repulsion	0	0	0.01
c	1000	0.05	repulsion	0	0	0.1
d	10000	0.49	repulsion	0	0	0.98
e	1e+05	4.87	repulsion	-0.02	0	9.84
f	1e+06	48.73	repulsion	-0.19	0	107.93


If your collostruction strength is based on p-values, it can be interpreted as follows:
Coll.strength>3 => p<0.001; coll.strength>2 => p<0.01; coll.strength>1.30103 => p<0.05.
I'd be happy if you provided me with feedback and acknowledged the use of Coll.analysis 3.2a.
